City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,invercargill,-46.4,168.35,0.01,99,7,0.89,NZ,1689882389
141,saipan,15.1355,145.701,27.58,100,20,2.57,MP,1689882275
142,tindouf,27.6711,-8.1474,42.25,7,0,7.2,DZ,1689882514
143,imbituba,-28.24,-48.6703,19.92,84,67,5.44,BR,1689882514
144,newman,37.3138,-121.0208,34.19,11,0,1.15,US,1689882342
145,georgetown,5.4112,100.3354,27.97,87,20,1.54,MY,1689882112
146,karratha,-20.7377,116.8463,18.42,43,1,4.75,AU,1689882500
147,castanos,26.7833,-101.4167,35.19,40,40,3.6,MX,1689882515
148,ilulissat,69.2167,-51.1,9.01,93,75,3.6,GL,1689882412
149,puerto leguizamo,-0.1934,-74.7819,27.97,79,43,0.57,CO,1689882515
150,barra de santo antonio,-9.4047,-35.5072,24.6,75,45,6.06,BR,1689882467
151,vorgashor,67.5833,63.95,18.31,76,51,2.57,RU,1689882424
152,nova sintra,14.8667,-24.7167,24.11,75,36,2.41,CV,1689882427
153,port elizabeth,-33.918,25.5701,12.16,58,75,6.17,ZA,1689882238
154,college,64.8569,-147.8028,18.1,94,100,1.54,US,1689882394
155,isafjordur,66.0755,-23.124,11.78,71,47,1.43,IS,1689882296
156,chilaw,7.5758,79.7953,28.01,85,41,9.68,LK,1689882517
157,las tablas,7.7667,-80.2833,31.65,66,85,5.03,PA,1689882292
158,okhotsk,59.3833,143.3,13.61,89,32,0.86,RU,1689882485
159,impfondo,1.6381,18.0667,26.57,61,80,0.76,CG,1689882517
160,tamanrasset,22.785,5.5228,31.95,10,0,2.06,DZ,1689882270
161,lloydminster,53.2835,-110.0016,24.12,53,75,3.6,CA,1689882263
162,kingston,17.997,-76.7936,30.53,74,75,5.66,JM,1689882158
163,fort mcmurray,56.7268,-111.381,24.73,50,0,2.06,CA,1689882518
164,yanchep,-31.55,115.6833,10.9,75,85,3.76,AU,1689882518
165,antsiranana,-12.2787,49.2917,24.67,76,100,5.76,MG,1689882297
166,kodiak,57.79,-152.4072,12.73,94,40,0.0,US,1689882254
167,la'ie,21.6477,-157.9253,28.98,75,73,2.24,US,1689882465
168,zhangye,38.9342,100.4517,21.2,35,0,2.26,CN,1689882290
169,jalgaon jamod,21.0486,76.5344,24.8,92,100,5.94,IN,1689882520
170,slavutych,51.5196,30.7343,15.67,99,60,0.45,UA,1689882520
171,quellon,-43.1167,-73.6167,13.14,71,75,5.14,CL,1689882327
172,la ronge,55.1001,-105.2842,24.14,50,75,3.6,CA,1689882295
173,trujillo,-8.116,-79.03,23.98,69,20,5.66,PE,1689882364
174,ghat,24.9647,10.1728,33.56,14,0,4.55,LY,1689882521
175,dudinka,69.4058,86.1778,16.46,97,50,3.65,RU,1689882456
176,kosong,38.3788,128.4676,22.27,93,10,0.8,KR,1689882521
177,la passe,45.5549,-0.8967,21.13,75,100,5.0,FR,1689882438
178,lagoa,39.05,-27.9833,20.15,86,100,4.4,PT,1689882522
179,dzitbalche,20.3167,-90.05,37.35,34,82,2.91,MX,1689882472
180,hafnarfjordur,64.0671,-21.9377,15.0,82,100,1.54,IS,1689882522
181,kristiansund,63.1115,7.732,14.03,76,40,3.09,NO,1689882409
182,cajabamba,-7.6167,-78.05,20.5,36,65,2.86,PE,1689882522
183,severo-yeniseyskiy,60.3725,93.0408,13.73,61,0,1.79,RU,1689882410
184,utrik,11.2278,169.8474,28.52,78,69,8.46,MH,1689882405
185,gofitskoye,45.0792,43.0464,20.01,49,0,2.3,RU,1689882523
186,namsos,64.4662,11.4957,13.95,77,100,2.06,NO,1689882523
187,dunedin,-45.8742,170.5036,7.11,65,31,4.02,NZ,1689882335
188,susuman,62.7833,148.1667,19.93,62,11,2.48,RU,1689882337
189,iqaluit,63.7506,-68.5145,4.85,100,100,2.06,CA,1689882382
190,kirakira,-10.4544,161.9205,26.04,88,100,2.07,SB,1689882265
191,hasaki,35.7333,140.8333,24.61,89,1,4.67,JP,1689882431
192,nouadhibou,20.931,-17.0347,22.99,83,7,8.23,MR,1689882470
193,esfarayen,37.0765,57.5101,22.81,37,0,1.62,IR,1689882525
